Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Chhattisgarh,CG,Raigarh,Lailunga,Ghatgaon,CG08RGR0054,22.488266279999998,83.547938,Mahanadi,Mahanadi Middle,Mand,Ponds,1.28375621,12837.562071083426,412.76413135269195,No,No,No,No,Ghatgaon,NWIC,63,63,18371.0,22,386,3264,434541,08,08,MAM,MAM,WS08MAM054,,01,,,,,,,,0.0,0.0,,,,,,0,412.76413135269195,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Borenda,CG08DRG1490,20.959932650000002,81.58703074,Mahanadi,Mahanadi Upper,Kharun,Ponds,3.43040129,34304.012925658,748.1638488891589,No,No,No,No,Borenda,NWIC,4918,4918,24465.0,22,378,3318,442772,08,08,MAU,MAU,WS08MAU019,,01,,,,,,,,0.0,0.0,,,,,,0,748.1638488891589,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Kharsia,Khamhar,CG08RGR0111,22.11602137,83.01532797,Mahanadi,Mahanadi Middle,Borai,Ponds,3.16415886,31641.58857808805,681.0712297967755,No,No,No,No,Khamhar,NWIC,125,125,18433.0,22,386,3269,435164,08,08,MAM,MAM,WS08MAM050,,01,,,,,,,,0.0,0.0,,,,,,0,681.0712297967755,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Kharsia,Jamjhor,CG08RGR0149,22.027658159999998,83.11675803,Mahanadi,Mahanadi Middle,Mand,Ponds,1.26079819,12607.981928026573,529.9118846880447,No,No,No,No,Jamjhor,NWIC,171,171,18479.0,22,386,3269,435182,08,08,MAM,MAM,WS08MAM060,,01,,,,,,,,0.0,0.0,,,,,,0,529.9118846880447,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Udaipur (Dharamjaigarh),Munund,CG08RGR0178,22.24226149,83.10203200000001,Mahanadi,Mahanadi Middle,Mand,Ponds,1.62650727,16265.07270741474,472.4695228638361,No,No,No,No,Munund,NWIC,200,200,18508.0,22,386,3263,434484,08,08,MAM,MAM,WS08MAM057,,01,,,,,,,,0.0,0.0,,,,,,0,472.4695228638361,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Kharsia,Turekela,CG08RGR0195,22.001202290000002,83.05384635,Mahanadi,Mahanadi Middle,Borai,Ponds,2.43354593,24335.45932176808,584.8861673771459,No,No,No,No,Turekela,NWIC,217,217,18525.0,22,386,3269,435209,08,08,MAM,MAM,WS08MAM050,,01,,,,,,,,0.0,0.0,,,,,,0,584.8861673771459,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Kharsia,Banipathar,CG08RGR0204,22.005030039999998,83.13933759000001,Mahanadi,Mahanadi Middle,Mand,Ponds,1.17677573,11767.757349355836,408.6667212866867,No,No,No,No,Banipathar,NWIC,226,226,18534.0,22,386,3269,435184,08,08,MAM,MAM,WS08MAM060,,01,,,,,,,,0.0,0.0,,,,,,0,408.6667212866867,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Bemetara,Bemetara,Tuma,CG08BEM1384,21.76347622,81.71717257,Mahanadi,Mahanadi Upper,Seonath,Ponds,1.59794325,15979.432464216186,515.5353545129958,No,No,No,Yes,,NWIC,7326,7326,28942.0,22,650,3312,442061,08,08,MAU,MAU,WS08MAU031,,01,,,,,,,,0.0,0.0,,,,,,0,515.5353545129958,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Bemetara,Nawagarh_1,Dhandhani,CG08BEM0004,21.8813392,81.67861843,Mahanadi,Mahanadi Upper,Hanp,Lakes,1.4468617,14468.616978299215,479.5216757488698,No,No,No,No,Dhandhani,NWIC,520,520,18828.0,22,650,3311,441766,08,08,MAU,MAU,WS08MAU030,,03,,,,,,,,0.0,0.0,,,,,,0,479.5216757488698,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Korba,Poundi-Uproda,Sukhrital,CG08KRB0303,22.83761169,82.39994373,Mahanadi,Mahanadi Middle,Gorghela,Ponds,1.01426198,10142.619806153374,376.89149432449767,No,No,No,Yes,Sukhrital,NWIC,591,591,18899.0,22,383,3273,435991,08,08,MAM,MAM,WS08MAM035,,01,,,,,,,,0.0,0.0,,,,,,0,376.89149432449767,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Bemetara,Thanakhamria,Akola,CG08BEM1411,21.782845730000002,81.45451019,Mahanadi,Mahanadi Upper,Kaura,Ponds,1.44644882,14464.488232299234,481.19521191224266,No,No,No,No,,NWIC,7353,7353,28969.0,22,650,3314,442189,08,08,MAU,MAU,WS08MAU025,,01,,,,,,,,0.0,0.0,,,,,,0,481.19521191224266,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Korba,Korba,Kudri,CG08KRB0376,22.30978566,82.73947285,Mahanadi,Mahanadi Middle,Gangel,Ponds,1.33472998,13347.299839362859,443.18424745228475,No,No,No,No,Kudri,NWIC,720,720,19028.0,22,383,3275,436333,08,08,MAM,MAM,WS08MAM045,,01,,,,,,,,0.0,0.0,,,,,,0,443.18424745228475,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Korba,Kartala,Jarve,CG08KRB0402,22.176108860000003,82.72638656999999,Mahanadi,Mahanadi Middle,Son,Ponds,1.11282072,11128.20721346563,419.0460071941764,No,No,No,No,Jarve,NWIC,746,746,19054.0,22,383,3276,436427,08,08,MAM,MAM,WS08MAM049,,01,,,,,,,,0.0,0.0,,,,,,0,419.0460071941764,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Korba,Kartala,Darrabhata,CG08KRB0454,22.08257062,82.70222616000001,Mahanadi,Mahanadi Middle,Son,Ponds,1.330416,13304.160005688469,442.5819754238763,No,No,No,No,Darrabhata,NWIC,798,798,19106.0,22,383,3276,436441,08,08,MAM,MAM,WS08MAM049,,01,,,,,,,,0.0,0.0,,,,,,0,442.5819754238763,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Korba,Kartala,Devlapath,CG08KRB0486,22.10892136,82.66872173,Mahanadi,Mahanadi Middle,Hasdeo,Ponds,1.8680463,18680.463010951,515.8477618812536,No,No,No,No,Devlapath,NWIC,832,832,19140.0,22,383,3276,436435,08,08,MAM,MAM,WS08MAM046,,01,,,,,,,,0.0,0.0,,,,,,0,515.8477618812536,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Kharsia,Gorpar,CG08RGR0264,22.121118019999997,82.99395443,Mahanadi,Mahanadi Middle,Borai,Ponds,1.06687061,10668.706088414878,391.73115773288737,No,Yes,Yes,No,Gorpar,NWIC,856,856,19164.0,22,386,3269,435148,08,08,MAM,MAM,WS08MAM050,,01,,,,,,,,0.0,0.0,,,,,,0,391.73115773288737,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Bharar,CG08DRG0005,20.952166270000003,81.45490183999999,Mahanadi,Mahanadi Upper,Bharar,Ponds,1.1636548,11636.54800885762,396.1143314827762,No,No,No,No,Bharar,NWIC,910,910,19218.0,22,378,3318,442738,08,08,MAU,MAU,WS08MAU020,,01,,,,,,,,0.0,0.0,,,,,,0,396.1143314827762,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Basin,CG08DRG0017,20.90641767,81.41437573,Mahanadi,Mahanadi Upper,Choraha,Ponds,1.16465596,11646.559555635156,413.9229853424113,No,No,No,No,Basin,NWIC,922,922,19230.0,22,378,3318,442746,08,08,MAU,MAU,WS08MAU018,,01,,,,,,,,0.0,0.0,,,,,,0,413.9229853424113,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Barbaspur,CG08DRG0076,20.982331339999998,81.52414950000001,Mahanadi,Mahanadi Upper,Bharar,Lakes,1.08702775,10870.277463351094,447.4495889210458,No,No,No,No,Barbaspur,NWIC,981,981,19289.0,22,378,3318,442708,08,08,MAU,MAU,WS08MAU020,,03,,,,,,,,0.0,0.0,,,,,,0,447.4495889210458,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Kohi,CG08DRG0108,20.94564431,81.56526588,Mahanadi,Mahanadi Upper,Bharar,Ponds,1.11700666,11170.066556663107,423.18564726374996,No,No,No,No,Kohi,NWIC,1013,1013,19321.0,22,378,3318,442768,08,08,MAU,MAU,WS08MAU020,,01,,,,,,,,0.0,0.0,,,,,,0,423.18564726374996,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Bhansuli,CG08DRG0119,20.941436990000003,81.44967754000001,Mahanadi,Mahanadi Upper,Bharar,Ponds,1.09341077,10934.107730070375,420.72098766477325,No,No,No,No,Bhansuli,NWIC,1024,1024,19332.0,22,378,3318,442739,08,08,MAU,MAU,WS08MAU020,,01,,,,,,,,0.0,0.0,,,,,,0,420.72098766477325,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Gatapar,CG08DRG0170,20.88030323,81.43362188,Mahanadi,Mahanadi Upper,Choraha,Lakes,2.56164404,25616.440406926104,640.6236277522601,No,No,No,No,Gatapar,NWIC,1075,1075,19383.0,22,378,3318,442754,08,08,MAU,MAU,WS08MAU018,,03,,,,,,,,0.0,0.0,,,,,,0,640.6236277522601,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Borid,CG08DRG0180,20.98797448,81.51163774,Mahanadi,Mahanadi Upper,Bharar,Ponds,1.25712705,12571.270476913665,458.6242151379436,No,No,No,No,Borid,NWIC,1085,1085,19393.0,22,378,3318,442709,08,08,MAU,MAU,WS08MAU020,,01,,,,,,,,0.0,0.0,,,,,,0,458.6242151379436,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Borway,CG08DRG0205,20.94705362,81.42252732,Mahanadi,Mahanadi Upper,Bharar,Ponds,1.0293928,10293.927951878308,406.46635991387063,No,No,No,No,Borway,NWIC,1112,1112,19420.0,22,378,3318,442743,08,08,MAU,MAU,WS08MAU020,,01,,,,,,,,0.0,0.0,,,,,,0,406.46635991387063,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Bemetara,Berla,Pirda,CG08BEM0093,21.41228129,81.57894489,Mahanadi,Mahanadi Upper,Lor,Lakes,1.69083197,16908.319695868213,493.1163060193193,No,No,No,No,Pirda,NWIC,1160,1160,19468.0,22,650,3315,442377,08,08,MAU,MAU,WS08MAU024,,03,,,,,,,,0.0,0.0,,,,,,0,493.1163060193193,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Bemetara,Berla,Uphara,CG08BEM0097,21.38792203,81.54741364,Mahanadi,Mahanadi Upper,Lor,Ponds,2.41687189,24168.71888524908,714.318138217049,No,No,No,No,Uphara,NWIC,1164,1164,19472.0,22,650,3315,442375,08,08,MAU,MAU,WS08MAU024,,01,,,,,,,,0.0,0.0,,,,,,0,714.318138217049,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Sarangarh,Kudhari,CG08RGR0305,21.598597050000002,83.02234106,Mahanadi,Mahanadi Middle,Lijar,Ponds,1.23370914,12337.091361257102,407.5686464283299,No,No,No,No,Kudhari,NWIC,1247,1247,19555.0,22,386,3270,435401,08,08,MAM,MAM,WS08MAM063,,01,,,,,,,,0.0,0.0,,,,,,0,407.5686464283299,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Sarangarh,Andola,CG08RGR0340,21.71780864,83.0373399,Mahanadi,Mahanadi Middle,Lijar,Ponds,2.45523381,24552.33805930239,611.3002097079612,No,No,No,No,Andola,NWIC,1282,1282,19590.0,22,386,3270,435296,08,08,MAM,MAM,WS08MAM063,,01,,,,,,,,0.0,0.0,,,,,,0,611.3002097079612,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Sarangarh,Khokhsi Pali,CG08RGR0446,21.57217381,83.00183328,Mahanadi,Mahanadi Middle,Lijar,Ponds,1.41315674,14131.567389977281,446.4351883028149,No,No,No,No,Khokhsi Pali,NWIC,1388,1388,19696.0,22,386,3270,435388,08,08,MAM,MAM,WS08MAM063,,01,,,,,,,,0.0,0.0,,,,,,0,446.4351883028149,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Sarangarh,Sarangarh,CG08RGR0536,21.60347871,83.07388329000001,Mahanadi,Mahanadi Middle,Lath,Lakes,2.51150225,25115.022513562828,600.9275000724505,No,No,No,No,Sarangarh,NWIC,1478,1478,19786.0,22,386,3270,250596,08,08,MAM,MAM,WS08MAM062,,03,,,,,,,,0.0,0.0,,,,,,0,600.9275000724505,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Baramkela,Chhuhipali,CG08RGR0596,21.49008396,83.23358213,Mahanadi,Mahanadi Middle,Kinkari,Lakes,1.03773013,10377.301262695482,384.10159084105777,No,No,No,No,Chhuhipali,NWIC,1538,1538,19846.0,22,386,3271,435743,08,08,MAM,MAM,WS08MAM064,,03,,,,,,,,0.0,0.0,,,,,,0,384.10159084105777,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Kharsia,Gidha,CG08RGR0612,21.96301817,83.12567733,Mahanadi,Mahanadi Middle,Mand,Ponds,2.04647953,20464.795287022233,602.0946633629484,No,No,No,No,Gidha,NWIC,1554,1554,19862.0,22,386,3269,435233,08,08,MAM,MAM,WS08MAM060,,01,,,,,,,,0.0,0.0,,,,,,0,602.0946633629484,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Pusour,Chhatamura,CG08RGR0679,21.863413939999997,83.39081977,Mahanadi,Mahanadi Middle,Kelo,Ponds,1.26246911,12624.691095655244,412.08548215816705,No,No,No,No,Chhatamura,NWIC,1621,1621,19929.0,22,386,3268,435010,08,08,MAM,MAM,WS08MAM066,,01,,,,,,,,0.0,0.0,,,,,,0,412.08548215816705,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Raigarh,Mauhapali,CG08RGR0707,21.87201346,83.24345142,Mahanadi,Mahanadi Middle,Mand,Lakes,1.02013643,10201.364343712086,377.005918760383,No,No,No,No,Mauhapali,NWIC,1649,1649,19957.0,22,386,3267,434898,08,08,MAM,MAM,WS08MAM060,,03,,,,,,,,0.0,0.0,,,,,,0,377.005918760383,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Baramkela,Kapartunga,CG08RGR0719,21.50154797,83.23243055,Mahanadi,Mahanadi Middle,Kinkari,Ponds,1.53400826,15340.082618405448,503.73057941975264,Yes,No,Yes,No,Kapartunga,NWIC,1661,1661,19969.0,22,386,3271,435741,08,08,MAM,MAM,WS08MAM064,,01,,,,,,,,0.0,0.0,,,,,,0,503.73057941975264,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Pusour,Basanpali,CG08RGR0808,21.75020732,83.40906842000001,Mahanadi,Mahanadi Middle,Kinkari,Lakes,1.06005634,10600.563355867087,404.910530406384,No,No,No,No,Basanpali,NWIC,1751,1751,20059.0,22,386,3268,435079,08,08,MAM,MAM,WS08MAM064,,03,,,,,,,,0.0,0.0,,,,,,0,404.910530406384,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Raigarh,Dumarpali,CG08RGR0824,21.83894033,83.52564892,Mahanadi,Mahanadi Middle,Chhote Kelo,Ponds,1.77409735,17740.973543243435,632.2202534888604,No,No,No,No,Dumarpali,NWIC,1767,1767,20075.0,22,386,3267,434976,08,08,MAM,MAM,WS08MAM067,,01,,,,,,,,0.0,0.0,,,,,,0,632.2202534888604,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Sarangarh,Banjari,CG08RGR0834,21.664277610000003,83.17622752999999,Mahanadi,Mahanadi Middle,Lath,Ponds,1.42229076,14222.907597774556,459.8081396538969,Yes,Yes,No,Yes,Banjari,NWIC,1777,1777,20085.0,22,386,3270,435540,08,08,MAM,MAM,WS08MAM062,,01,,,,,,,,0.0,0.0,,,,,,0,459.8081396538969,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Sarangarh,Nakainhar,CG08RGR0859,21.63930309,83.06050168,Mahanadi,Mahanadi Middle,Lijar,Ponds,1.25087657,12508.765737498981,444.58667721381454,No,No,Yes,No,Nakainhar,NWIC,1802,1802,20110.0,22,386,3270,435345,08,08,MAM,MAM,WS08MAM063,,01,,,,,,,,0.0,0.0,,,,,,0,444.58667721381454,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Pusour,Sarwani,CG08RGR0905,21.75274857,83.26502013,Mahanadi,Mahanadi Middle,Mand,Lakes,1.00381138,10038.113829016507,387.4926425137459,Yes,No,Yes,No,Sarwani,NWIC,1848,1848,20156.0,22,386,3268,435114,08,08,MAM,MAM,WS08MAM060,,03,,,,,,,,0.0,0.0,,,,,,0,387.4926425137459,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Baramkela,Jalgarh,CG08RGR0960,21.616699509999997,83.33867551,Mahanadi,Mahanadi Middle,Kinkari,Ponds,1.10485744,11048.574449865433,400.7312465441343,No,No,No,No,Jalgarh,NWIC,1903,1903,20211.0,22,386,3271,435624,08,08,MAM,MAM,WS08MAM064,,01,,,,,,,,0.0,0.0,,,,,,0,400.7312465441343,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Pusour,Ekatal,CG08RGR1006,21.798113620000002,83.46873755,Mahanadi,Mahanadi Middle,Kelo,Ponds,1.0358688,10358.68802477876,417.427990330169,Yes,Yes,Yes,Yes,Ekatal,NWIC,1949,1949,20257.0,22,386,3268,435062,08,08,MAM,MAM,WS08MAM066,,01,,,,,,,,0.0,0.0,,,,,,0,417.427990330169,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Baramkela,Dabhara,CG08RGR1054,21.59738219,83.26884347,Mahanadi,Mahanadi Middle,Kinkari,Ponds,1.72030555,17203.055531505048,497.84662300599643,Yes,No,Yes,No,Dabhara,NWIC,1997,1997,20305.0,22,386,3271,435653,08,08,MAM,MAM,WS08MAM064,,01,,,,,,,,0.0,0.0,,,,,,0,497.84662300599643,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Sarangarh,Kataradih,CG08RGR1231,21.636770480000003,83.15540702,Mahanadi,Mahanadi Middle,Lath,Ponds,1.70149207,17014.920742402104,483.2256378626669,No,No,No,No,Kataradih,NWIC,2174,2174,20482.0,22,386,3270,435527,08,08,MAM,MAM,WS08MAM062,,01,,,,,,,,0.0,0.0,,,,,,0,483.2256378626669,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Raigarh,Baramkela,Kandola,CG08RGR1319,21.62666193,83.31105921000001,Mahanadi,Mahanadi Middle,Kinkari,Lakes,1.07575776,10757.577576698553,393.7269649835697,No,No,No,No,Kandola,NWIC,2262,2262,20570.0,22,386,3271,435620,08,08,MAM,MAM,WS08MAM064,,03,,,,,,,,0.0,0.0,,,,,,0,393.7269649835697,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Achhoti,CG08DRG0312,21.31828092,81.47579344,Mahanadi,Mahanadi Upper,Lor,Ponds,4.933840109999999,49338.4010614167,818.7703561192891,No,No,No,No,Achhoti,NWIC,2432,2432,20740.0,22,378,3316,442532,08,08,MAU,MAU,WS08MAU024,,01,,,,,,,,0.0,0.0,,,,,,0,818.7703561192891,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Birejhar,CG08DRG0360,21.30824574,81.19061066,Mahanadi,Mahanadi Upper,Baiha,Ponds,1.72754373,17275.4372685344,489.212354458472,No,No,No,No,Birejhar,NWIC,2483,2483,20791.0,22,378,3316,442458,08,08,MAU,MAU,WS08MAU010,,01,,,,,,,,0.0,0.0,,,,,,0,489.212354458472,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Matwari,CG08DRG0414,21.048170680000002,81.31451081,Mahanadi,Mahanadi Upper,Tandula,Ponds,1.75659317,17565.93172067567,527.4150860552799,No,No,No,No,Matwari,NWIC,2537,2537,20845.0,22,378,3317,442605,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,527.4150860552799,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Fekari,CG08DRG0474,21.051597740000002,81.4146837,Mahanadi,Mahanadi Upper,Tandula,Ponds,1.03698049,10369.804897705455,385.6684756727385,No,No,No,No,Fekari,NWIC,2600,2600,20908.0,22,378,3318,442695,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,385.6684756727385,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Doma,CG08DRG0518,21.32861395,81.29368465,Mahanadi,Mahanadi Upper,Amner,Lakes,1.33452479,13345.247938453214,440.83266447583884,No,No,No,No,Doma,NWIC,2650,2650,20958.0,22,378,3316,442471,08,08,MAU,MAU,WS08MAU013,,03,,,,,,,,0.0,0.0,,,,,,0,440.83266447583884,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Purda Bade,CG08DRG0569,21.340856270000003,81.23476291,Mahanadi,Mahanadi Upper,Baiha,Ponds,1.15402462,11540.246185355736,401.18060890807294,No,No,No,No,Purda Bade,NWIC,2701,2701,21009.0,22,378,3316,442470,08,08,MAU,MAU,WS08MAU010,,01,,,,,,,,0.0,0.0,,,,,,0,401.18060890807294,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Durg,CG08DRG0585,21.19603322,81.29413903,Mahanadi,Mahanadi Upper,Baiha,Ponds,1.62854238,16285.423788809085,493.9087275603681,No,No,No,No,Durg,NWIC,2717,2717,21025.0,22,378,3317,250640,08,08,MAU,MAU,WS08MAU010,,01,,,,,,,,0.0,0.0,,,,,,0,493.9087275603681,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Janjgiri,CG08DRG0614,21.07165014,81.30349196,Mahanadi,Mahanadi Upper,Tandula,Ponds,1.14308708,11430.870829540403,403.5763321754159,No,No,No,No,Janjgiri,NWIC,2746,2746,21054.0,22,378,3317,442609,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,403.5763321754159,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Bodegaon,CG08DRG0651,21.32580849,81.35024407,Mahanadi,Mahanadi Upper,Amner,Ponds,1.06031408,10603.140769937909,378.505867282694,No,No,No,No,Bodegaon,NWIC,2792,2792,21100.0,22,378,3317,442557,08,08,MAU,MAU,WS08MAU013,,01,,,,,,,,0.0,0.0,,,,,,0,378.505867282694,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Bhilai,CG08DRG0704,21.217438180000002,81.33623759000001,Mahanadi,Mahanadi Upper,Baiha,Lakes,1.50354653,15035.465285622307,488.68926025914135,No,No,No,No,Bhilai,NWIC,2845,2845,21153.0,22,378,3317,250639,08,08,MAU,MAU,WS08MAU010,,03,,,,,,,,0.0,0.0,,,,,,0,488.68926025914135,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Okhra,CG08DRG0758,21.30600245,81.42952439,Mahanadi,Mahanadi Upper,Lor,Ponds,1.83680709,18368.07093741943,526.6195218524297,No,No,No,No,Okhra,NWIC,2899,2899,21207.0,22,378,3316,442538,08,08,MAU,MAU,WS08MAU024,,01,,,,,,,,0.0,0.0,,,,,,0,526.6195218524297,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Vinayakpur,CG08DRG0846,21.05174662,81.25756100999999,Mahanadi,Mahanadi Upper,Tandula,Ponds,1.46869088,14686.90881488905,456.08195752817886,No,No,No,No,Vinayakpur,NWIC,2987,2987,21295.0,22,378,3317,442619,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,456.08195752817886,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Dhamdha,CG08DRG0886,21.46096897,81.32484366999999,Mahanadi,Mahanadi Upper,Gabdi,Ponds,1.86682492,18668.249222468763,519.4489906002731,No,No,No,No,Dhamdha,NWIC,3027,3027,21335.0,22,378,3316,250634,08,08,MAU,MAU,WS08MAU015,,01,,,,,,,,0.0,0.0,,,,,,0,519.4489906002731,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Bhendsar,CG08DRG1047,21.257198980000002,81.26515175,Mahanadi,Mahanadi Upper,Baiha,Ponds,3.39576971,33957.69708911193,685.4548712355707,No,No,No,No,Bhendsar,NWIC,3188,3188,21496.0,22,378,3317,442564,08,08,MAU,MAU,WS08MAU010,,01,,,,,,,,0.0,0.0,,,,,,0,685.4548712355707,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Santra,CG08DRG1073,21.04345098,81.46556073,Mahanadi,Mahanadi Upper,Bharar,Ponds,1.50706655,15070.66553776018,501.98206386397715,No,No,No,No,Santra,NWIC,3214,3214,21522.0,22,378,3318,442690,08,08,MAU,MAU,WS08MAU020,,01,,,,,,,,0.0,0.0,,,,,,0,501.98206386397715,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Funda Devara,CG08DRG1160,21.08820948,81.47821705,Mahanadi,Mahanadi Upper,Bharar,Ponds,3.73494361,37349.436094700315,757.0562029398491,No,No,No,No,Funda Devara,NWIC,3301,3301,21609.0,22,378,3318,442685,08,08,MAU,MAU,WS08MAU020,,01,,,,,,,,0.0,0.0,,,,,,0,757.0562029398491,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Amalori,CG08DRG1177,21.02798699,81.43561638999999,Mahanadi,Mahanadi Upper,Bharar,Ponds,4.10513465,41051.34647600238,834.2176386998666,Yes,No,No,No,Amalori,NWIC,3318,3318,21626.0,22,378,3318,442696,08,08,MAU,MAU,WS08MAU020,,01,,,,,,,,0.0,0.0,,,,,,0,834.2176386998666,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Bhilai,CG08DRG1211,21.22562579,81.3117301,Mahanadi,Mahanadi Upper,Baiha,Ponds,1.34564771,13456.477130794916,436.50889330816915,No,No,No,No,Bhilai,NWIC,3383,3383,21691.0,22,378,3317,250639,08,08,MAU,MAU,WS08MAU010,,01,,,,,,,,0.0,0.0,,,,,,0,436.50889330816915,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Pauha,CG08DRG1233,21.00081438,81.42160857,Mahanadi,Mahanadi Upper,Bharar,Ponds,2.73103896,27310.38960558981,662.0236115667241,No,No,No,No,Pauha,NWIC,3405,3405,21713.0,22,378,3318,442701,08,08,MAU,MAU,WS08MAU020,,01,,,,,,,,0.0,0.0,,,,,,0,662.0236115667241,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Bemetara,Thanakhamria,Than Khamharia,CG08BEM0233,21.8028924,81.33606177,Mahanadi,Mahanadi Upper,Kurra,Ponds,1.18304117,11830.411663254286,424.5355548491014,Yes,No,No,Yes,Than Khamharia,NWIC,3409,3409,21717.0,22,650,3314,250633,08,08,MAU,MAU,WS08MAU016,,01,,,,,,,,0.0,0.0,,,,,,0,424.5355548491014,District Water Body Atlas
