SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Gate-1 Discharge (cusec),Gate-2 Discharge (cusec),Gate-3 Discharge (cusec),Gate-4 Discharge (cusec),Gate-5 Discharge (cusec),Gate-6 Discharge (cusec),Gate-7 Discharge (cusec),Gate-8 Discharge (cusec),Gate-9 Discharge (cusec),Gate-10 Discharge (cusec),Gate-11 Discharge (cusec),Gate-12 Discharge (cusec),Gate-13 Discharge (cusec),Gate-14 Discharge (cusec),Gate-15 Discharge (cusec),Gate-16 Discharge (cusec),Gate-17 Discharge (cusec),Gate-18 Discharge (cusec),Gate-19 Discharge (cusec),Gate-20 Discharge (cusec),Gate-21 Discharge (cusec),Gate-22 Discharge (cusec),Gate-23 Discharge (cusec),Gate-24 Discharge (cusec),Gate-25 Discharge (cusec),Gate-26 Discharge (cusec),Gate-27 Discharge (cusec),Gate-28 Discharge (cusec),Gate-29 Discharge (cusec),Gate-30 Discharge (cusec),Gate-31 Discharge (cusec),Gate-32 Discharge (cusec),Gate-33 Discharge (cusec),Gate-34 Discharge (cusec),Gate-35 Discharge (cusec),Gate-36 Discharge (cusec),Gate-37 Discharge (cusec),Gate-38 Discharge (cusec),Gate-39 Discharge (cusec),Gate-40 Discharge (cusec),Gate-41 Discharge (cusec),Gate-42 Discharge (cusec),Gate-43 Discharge (cusec),Gate-44 Discharge (cusec),Gate-45 Discharge (cusec),Gate-46 Discharge (cusec),Gate-47 Discharge (cusec),Gate-48 Discharge (cusec),Gate-49 Discharge (cusec),Gate-50 Discharge (cusec)
14,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,26-03-2026 12:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,26-03-2026 13:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,26-03-2026 14:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,26-03-2026 15:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,26-03-2026 16:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,26-03-2026 17:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,26-03-2026 19:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,26-03-2026 20:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
22,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,26-03-2026 21:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
23,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,26-03-2026 22:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,26-03-2026 23:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,27-03-2026 00:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
26,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,27-03-2026 01:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,27-03-2026 03:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
28,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,27-03-2026 04:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
29,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,27-03-2026 05:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,27-03-2026 06:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,27-03-2026 07:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32,Mahi Dam_1,Rajasthan SW,8,Rajasthan,114,SIKAR,-,-,-,-,-,-,-,-,-,23.63433000,74.54701000,27-03-2026 08:00,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
