SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.54636900,77.31259700,06-01-2021 08:30,1015,"","","","",""
2,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.54636900,77.31259700,01-02-2021 08:30,1348,"","","","",""
3,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.54636900,77.31259700,03-03-2021 08:30,1202,"","","","",""
4,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.54636900,77.31259700,05-04-2021 08:30,1731,"","","","",""
5,AT INDUSTRIAL AREA FATEHPUR,CPCB,9,Uttar Pradesh,142,FATEHPUR,HATHGAON,-,-,-,-,-,-,-,-,25.92007500,80.80999400,29-04-2021 08:30,1920,Clear,"",4,"",""
6,AT INDUSTRIAL AREA FATEHPUR,CPCB,9,Uttar Pradesh,142,FATEHPUR,HATHGAON,-,-,-,-,-,-,-,-,25.92007500,80.80999400,21-10-2021 08:30,1983,Clear,"",3,"",""
7,AT INDUSTRIAL AREA. NAINI ALLAHABAD,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.37919400,81.87706700,29-04-2021 08:30,1193,Clear,"",5,"",""
8,AT INDUSTRIAL AREA. NAINI ALLAHABAD,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.37919400,81.87706700,28-10-2021 08:30,1222,Clear,"",4,"",""
9,BANGANGA AT D/S SHUKRATAL (BEFORE CONFLUENCE OF LAKSAR DRAIN ),CPCB,9,Uttar Pradesh,172,MUZAFFARNAGAR,JANSATH,-,-,-,-,-,-,-,-,29.49155100,77.99051400,27-01-2021 08:30,"","","","","",""
10,BANGANGA AT U/S IDRISHPUR (U.K.),CPCB,9,Uttar Pradesh,124,BAGHPAT,BAGHPAT,-,-,-,-,-,-,-,-,29.18405800,77.32613000,27-01-2021 08:30,"","","","","",""
11,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,06-01-2021 08:30,"","","","","",""
12,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,06-02-2021 08:30,"","","","","",""
13,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,06-03-2021 08:30,"","","","","",""
14,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,06-01-2021 08:30,"","","","","",""
15,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,06-02-2021 08:30,"","","","","",""
16,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,06-03-2021 08:30,"","","","","",""
17,BETWA AT SUKMA DUKMA DAM JHANSI (U.P.),CPCB,9,Uttar Pradesh,153,JHANSI,Jhansi,-,-,-,-,-,-,-,-,25.19304400,78.53914100,03-03-2021 08:30,"","","","","",""
18,BHADOHI INDUSTRIAL AREA DEVELOPMENT AUTHORITY SANT RAVIDAS NAGAR,CPCB,9,Uttar Pradesh,152,JAUNPUR,MACHHALISHAHR,-,-,-,-,-,-,-,-,25.69862500,82.23750800,22-04-2021 08:30,492,Clear,"",12,"",""
19,BHADOHI INDUSTRIAL AREA DEVELOPMENT AUTHORITY SANT RAVIDAS NAGAR,CPCB,9,Uttar Pradesh,152,JAUNPUR,MACHHALISHAHR,-,-,-,-,-,-,-,-,25.69862500,82.23750800,27-10-2021 08:30,540,Clear,"",20,"",""
20,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,26-01-2021 08:30,"","","","","",""
21,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,24-02-2021 08:30,"","","","","",""
